date, pm25, pm10, no2
2022/7/23, 11, 13, 1
2022/7/24, 18, 11, 3
2022/7/25, 19, 18, 2
2022/7/26, 7, 17, 4
2022/7/27, 7, 26, 5
2022/7/28, 22, 20, 6
2022/7/29, 17, 15, 2
2022/7/30, 15, 13, 2
2022/7/31, 13, 18, 3
2022/8/1, 18, 17, 2
2022/8/2, 16, 22, 3
2022/8/3, 27, 18, 3
2022/8/4, 29, 14, 3
2022/8/5, 13, 18, 3
2022/8/6, 19, 17, 1
2022/8/7, 28, 13, 3
2022/8/8, 20, 12, 3
2022/8/9, 17, 14, 3
2022/8/10, 19, 15, 5
2022/8/11, 18, 19, 11
2022/8/12, 23, 25, 8
2022/8/13, 34, 22, 8
2022/8/14, 33, 23, 3
2022/8/15, 34, , 
2022/8/17, 50, 13, 8
2022/8/18, 32, , 13
2022/8/19, 96, , 
2022/9/13, 17, , 4
2022/9/14, 13, , 7
2022/9/15, 11, , 5
2022/9/16, 11, , 5
2022/9/17, 10, , 5
2022/9/18, 14, , 4
2022/9/19, 11, , 7
2022/9/20, 16, , 8
2022/9/21, 19, , 6
2022/9/22, 14, , 5
2022/9/23, 23, , 3
2022/9/24, 29, , 3
2022/9/25, 23, , 3
2022/9/26, 8, , 3
2022/9/27, 17, , 4
2022/9/28, 30, , 4
2022/9/29, 16, , 4
2022/9/30, 15, , 2
2022/4/1, 17, 31, 7
2022/4/2, 17, 30, 6
2022/4/3, 16, 7, 3
2022/4/4, 8, 50, 6
2022/4/5, 15, 6, 6
2022/4/6, 10, 9, 6
2022/4/7, 7, 14, 5
2022/4/8, 11, 29, 5
2022/4/9, 18, 29, 5
2022/4/10, 19, 35, 7
2022/4/11, 18, 44, 12
2022/4/12, 24, 27, 4
2022/4/13, 33, 14, 8
2022/4/14, 32, 8, 1
2022/4/15, 14, 21, 7
2022/4/16, 20, 20, 8
2022/4/17, 19, 28, 8
2022/4/18, 29, 35, 9
2022/4/19, 31, 24, 4
2022/4/20, 15, 26, 4
2022/4/21, 17, 26, 4
2022/4/22, 15, 29, 2
2022/4/23, 13, 19, 1
2022/4/24, 9, 31, 7
2022/4/25, 20, 31, 8
2022/4/26, 15, 33, 7
2022/4/27, 20, 34, 5
2022/4/28, 21, , 
2022/5/2, 29, 28, 3
2022/5/3, 11, 34, 6
2022/5/4, 24, 27, 7
2022/5/5, 25, 26, 5
2022/5/6, 23, 18, 5
2022/5/7, 22, 17, 4
2022/5/8, 16, 19, 2
2022/5/9, 17, 19, 4
2022/5/10, 26, 20, 3
2022/5/11, 28, 25, 4
2022/5/12, 25, 20, 3
2022/5/13, 23, 28, 5
2022/5/14, 33, 13, 4
2022/5/15, 19, 13, 5
2022/5/16, 16, 21, 5
2022/5/17, 17, 20, 2
2022/5/18, 20, 35, 9
2022/5/19, 43, 19, 5
2022/5/20, 20, 15, 5
2022/5/21, 21, , 
2022/5/23, 15, 13, 3
2022/5/24, 24, 12, 2
2022/5/25, 12, 22, 2
2022/5/26, 23, 17, 4
2022/5/27, 14, 8, 2
2022/5/28, 13, 12, 4
2022/5/29, 17, 17, 6
2022/5/30, 24, 15, 7
2022/5/31, 24, 15, 3
2022/6/1, 17, 20, 3
2022/6/2, 25, 24, 3
2022/6/3, 29, 19, 4
2022/6/4, 31, 15, 4
2022/6/5, 22, 13, 2
2022/6/6, 22, 10, 3
2022/6/7, 17, 11, 2
2022/6/8, 15, 16, 5
2022/6/9, 26, 13, 4
2022/6/10, 16, 23, 2
2022/6/11, 41, 20, 2
2022/6/12, 32, 23, 4
2022/6/13, 26, 22, 5
2022/6/14, 24, 19, 3
2022/6/15, 22, 20, 4
2022/6/16, 25, 20, 4
2022/6/17, 33, 26, 3
2022/6/18, 29, 20, 3
2022/6/19, 29, 15, 5
2022/6/20, 19, 28, 4
2022/6/21, 34, 21, 2
2022/6/22, 26, 17, 3
2022/6/23, 23, 13, 2
2022/6/24, 23, 26, 3
2022/6/25, 41, 25, 3
2022/6/26, 19, 33, 7
2022/6/27, 50, 27, 6
2022/6/28, 15, 27, 5
2022/6/29, 14, 24, 7
2022/6/30, 15, 20, 3
2022/1/3, 19, 17, 3
2022/1/4, 12, 7, 8
2022/1/5, 14, 15, 11
2022/1/6, 18, 12, 5
2022/1/7, 18, 4, 3
2022/1/8, 6, 7, 2
2022/1/9, 18, 9, 6
2022/1/10, 27, 17, 5
2022/1/11, 38, 17, 5
2022/1/12, 18, 27, 5
2022/1/13, 25, 41, 6
2022/1/14, 27, 27, 11
2022/1/15, 27, 18, 3
2022/1/16, 14, 42, 6
2022/1/17, 29, 26, 12
2022/1/18, 26, 17, 3
2022/1/19, 17, 30, 4
2022/1/20, 13, 25, 13
2022/1/21, 22, 13, 5
2022/1/22, 19, 7, 4
2022/1/23, 15, 19, 3
2022/1/24, 22, 21, 15
2022/1/25, 21, 35, 5
2022/1/26, 36, 21, 2
2022/1/27, 21, 30, 7
2022/1/28, 18, 17, 2
2022/1/29, 13, 23, 1
2022/1/30, 21, 42, 16
2022/1/31, 20, 9, 10
2022/2/1, 14, 8, 10
2022/2/2, 19, 6, 8
2022/2/3, 11, 11, 4
2022/2/4, 13, 20, 2
2022/2/5, 19, 10, 2
2022/2/6, 9, 19, 7
2022/2/7, 21, 31, 4
2022/2/8, 31, 31, 3
2022/2/9, 27, 26, 3
2022/2/10, 23, 31, 11
2022/2/11, 22, 27, 1
2022/2/12, 21, 22, 3
2022/2/13, 34, 17, 3
2022/2/14, 32, 21, 2
2022/2/15, 20, 14, 3
2022/2/16, 14, 14, 5
2022/2/17, 21, 32, 3
2022/2/18, 24, 13, 3
2022/2/19, 20, 8, 3
2022/2/20, 9, 5, 3
2022/2/21, 18, 17, 6
2022/2/22, 14, 23, 6
2022/2/23, 29, 12, 6
2022/2/24, 16, 25, 6
2022/2/25, 28, 36, 9
2022/2/26, 25, 18, 4
2022/2/27, 20, 22, 3
2022/2/28, 23, 27, 5
2022/3/1, 47, 28, 12
2022/3/2, 22, 23, 14
2022/3/3, 18, 38, 17
2022/3/4, 26, 31, 10
2022/3/5, 24, 19, 7
2022/3/6, 17, 41, 21
2022/3/7, 29, 22, 11
2022/3/8, 27, 40, 14
2022/3/9, 36, 21, 5
2022/3/10, 22, 24, 3
2022/3/11, 26, 22, 2
2022/3/12, 24, 19, 2
2022/3/13, 31, 48, 7
2022/3/14, 58, 55, 12
2022/3/15, 71, 36, 11
2022/3/16, 38, 32, 3
2022/3/17, 50, 42, 7
2022/3/18, 32, 54, 13
2022/3/19, 31, 44, 11
2022/3/20, 40, 46, 4
2022/3/21, 61, 68, 12
2022/3/22, 71, 53, 23
2022/3/23, 62, 58, 11
2022/3/24, 57, 52, 9
2022/3/25, 43, 27, 5
2022/3/26, 16, 44, 11
2022/3/27, 9, , 
2021/10/1, 15, 8, 2
2021/10/2, 20, 13, 1
2021/10/3, 35, 14, 2
2021/10/4, 18, 13, 3
2021/10/5, 17, , 
2021/10/8, 33, 19, 3
2021/10/9, 37, 26, 3
2021/10/10, 45, 11, 6
2021/10/11, 7, 6, 6
2021/10/12, 7, 12, 5
2021/10/13, 13, 18, 3
2021/10/14, 15, 11, 4
2021/10/15, 13, 21, 3
2021/10/16, 19, 11, 5
2021/10/17, 15, 16, 12
2021/10/18, 20, 6, 2
2021/10/19, 9, , 
2021/10/21, 12, 19, 6
2021/10/22, 17, 21, 8
2021/10/23, 25, 18, 2
2021/10/24, 21, 18, 4
2021/10/25, 29, 18, 4
2021/10/26, 20, 13, 2
2021/10/27, 24, 16, 4
2021/10/28, 26, , 
2021/10/31, 31, 22, 3
2021/11/1, 40, 18, 5
2021/11/2, 23, 26, 9
2021/11/3, 25, 24, 10
2021/11/4, 28, 17, 6
2021/11/5, 11, 23, 2
2021/11/6, 20, 12, 2
2021/11/7, 15, 7, 5
2021/11/8, 12, 9, 3
2021/11/9, 15, 22, 6
2021/11/10, 22, 28, 7
2021/11/11, 20, 34, 13
2021/11/12, 24, 10, 3
2021/11/13, 20, 9, 3
2021/11/14, 17, 11, 3
2021/11/15, 15, 21, 5
2021/11/16, 41, 18, 4
2021/11/17, 23, 21, 6
2021/11/18, 19, 41, 4
2021/11/19, 41, 16, 8
2021/11/20, 18, 4, 3
2021/11/21, 11, 14, 9
2021/11/22, 15, 20, 20
2021/11/23, 26, 12, 5
2021/11/24, 10, 11, 6
2021/11/25, 8, 4, 7
2021/11/26, 9, 3, 4
2021/11/27, 11, 4, 3
2021/11/28, 13, 8, 11
2021/11/29, 15, 5, 7
2021/11/30, 15, 3, 7
2021/12/1, 7, 8, 15
2021/12/2, 20, 6, 17
2021/12/3, 16, 5, 4
2021/12/4, 16, 5, 3
2021/12/5, 15, 4, 7
2021/12/6, 10, 5, 3
2021/12/7, 10, 16, 4
2021/12/8, 45, 12, 7
2021/12/9, 29, 13, 8
2021/12/10, 36, 22, 9
2021/12/11, 58, 11, 6
2021/12/12, 35, 7, 7
2021/12/13, 16, 20, 7
2021/12/14, 21, 22, 4
2021/12/15, 24, 36, 8
2021/12/16, 44, 29, 24
2021/12/17, 46, 8, 10
2021/12/18, 12, 10, 6
2021/12/19, 9, 17, 17
2021/12/20, 19, 11, 9
2021/12/21, 15, 6, 3
2021/12/22, 12, 9, 8
2021/12/23, 19, 13, 3
2021/12/24, 11, 24, 20
2021/12/25, 31, 23, 17
2021/12/26, 49, 6, 3
2021/12/27, 9, 19, 3
2021/12/28, 48, 20, 6
2021/12/29, 53, 26, 4
2021/12/30, 32, 6, 4
2021/12/31, 13, 11, 3
2022/1/1, 20, 13, 4
2022/1/2, 22, 20, 3
2021/7/1, 19, 21, 4
2021/7/2, 29, 20, 5
2021/7/3, 32, 19, 3
2021/7/4, 29, 15, 2
2021/7/5, 22, 15, 2
2021/7/6, 15, 21, 2
2021/7/7, 20, 21, 3
2021/7/8, 25, 21, 6
2021/7/9, 29, 11, 4
2021/7/10, 20, 11, 1
2021/7/11, 17, 10, 3
2021/7/12, 16, 17, 3
2021/7/13, 34, 28, 5
2021/7/14, 54, 27, 7
2021/7/15, 52, 21, 5
2021/7/16, 41, 18, 4
2021/7/17, 27, 19, 3
2021/7/18, 16, 14, 5
2021/7/19, 17, 24, 4
2021/7/20, 29, 24, 4
2021/7/21, 31, 22, 4
2021/7/22, 30, 36, 4
2021/7/23, 49, 27, 4
2021/7/24, 32, 20, 2
2021/7/25, 28, 25, 3
2021/7/26, 41, 24, 3
2021/7/27, 54, 16, 2
2021/7/28, 24, 13, 2
2021/7/29, 14, 17, 2
2021/7/30, 18, 17, 1
2021/7/31, 22, 18, 
2021/8/1, 14, 10, 3
2021/8/2, 14, 18, 3
2021/8/3, 20, 22, 6
2021/8/4, 21, 18, 8
2021/8/5, 21, 18, 3
2021/8/6, 22, 13, 2
2021/8/7, 18, 16, 3
2021/8/8, 27, 20, 2
2021/8/9, 26, 12, 4
2021/8/10, 22, 12, 5
2021/8/11, 20, 16, 2
2021/8/12, 24, 20, 3
2021/8/13, 32, 21, 1
2021/8/14, 22, 18, 1
2021/8/15, 20, 9, 6
2021/8/16, 17, 5, 3
2021/8/17, 12, 16, 4
2021/8/18, 15, 16, 4
2021/8/19, 18, 19, 3
2021/8/20, 21, 22, 5
2021/8/21, 28, 15, 5
2021/8/22, 22, 19, 7
2021/8/23, 24, 28, 8
2021/8/24, 30, 26, 3
2021/8/25, 12, 21, 1
2021/8/26, 11, 10, 2
2021/8/27, 17, 9, 1
2021/8/28, 14, 14, 1
2021/8/29, 27, 20, 6
2021/8/30, 25, 29, 8
2021/8/31, 33, 27, 9
2021/9/1, 43, 33, 9
2021/9/2, 38, 32, 6
2021/9/3, 28, 21, 3
2021/9/4, 13, 24, 5
2021/9/5, 16, 20, 6
2021/9/6, 17, 26, 7
2021/9/7, 33, 23, 4
2021/9/8, 38, 36, 6
2021/9/9, 57, 44, 8
2021/9/10, 60, 16, 4
2021/9/11, 38, 9, 2
2021/9/12, 16, 12, 4
2021/9/13, 15, 17, 7
2021/9/14, 20, 11, 5
2021/9/15, 16, 2, 3
2021/9/16, 5, 5, 2
2021/9/17, 12, 10, 2
2021/9/18, 22, 8, 2
2021/9/19, 15, 11, 5
2021/9/20, 20, 15, 6
2021/9/21, 25, 26, 7
2021/9/22, 27, 13, 4
2021/9/23, 11, 23, 6
2021/9/24, 23, 27, 5
2021/9/25, 32, 17, 6
2021/9/26, 22, 12, 1
2021/9/27, 24, 22, 9
2021/9/28, 30, 15, 7
2021/9/29, 21, 8, 5
2021/9/30, 18, 8, 2
2021/4/1, 13, 9, 6
2021/4/2, 13, 8, 3
2021/4/3, 8, 24, 3
2021/4/4, 19, 11, 2
2021/4/5, 12, 19, 8
2021/4/6, 13, 26, 8
2021/4/7, 16, 33, 6
2021/4/8, 17, 24, 2
2021/4/9, 23, 15, 3
2021/4/10, 20, 9, 3
2021/4/11, 10, 6, 4
2021/4/12, 10, 7, 5
2021/4/13, 10, 18, 13
2021/4/14, 16, 13, 11
2021/4/15, 15, 14, 9
2021/4/16, 15, 8, 3
2021/4/17, 14, 8, 2
2021/4/18, 15, 14, 4
2021/4/19, 18, 27, 9
2021/4/20, 29, 38, 5
2021/4/21, 23, 22, 2
2021/4/22, 12, 12, 6
2021/4/23, 12, 13, 3
2021/4/24, 13, 6, 1
2021/4/25, 9, 9, 7
2021/4/26, 8, 16, 8
2021/4/27, 13, 16, 7
2021/4/28, 16, 12, 3
2021/4/29, 18, 9, 4
2021/4/30, 14, 12, 7
2021/5/1, 22, 11, 6
2021/5/2, 22, 9, 5
2021/5/3, 15, 2, 3
2021/5/4, 7, 3, 5
2021/5/5, 7, 4, 4
2021/5/6, 12, 8, 7
2021/5/7, 20, 12, 5
2021/5/8, 24, 8, 2
2021/5/9, 21, 13, 5
2021/5/10, 31, 3, 8
2021/5/11, 9, 12, 5
2021/5/12, 26, 9, 5
2021/5/13, 27, 14, 9
2021/5/14, 34, 3, 3
2021/5/15, 6, 5, 2
2021/5/16, 10, 7, 3
2021/5/17, 15, 7, 4
2021/5/18, 11, 9, 4
2021/5/19, 15, 8, 3
2021/5/20, 8, 6, 3
2021/5/21, 9, 5, 2
2021/5/22, 13, 1, 2
2021/5/23, 8, 4, 2
2021/5/24, 13, 5, 4
2021/5/25, 16, 6, 4
2021/5/26, 9, 4, 3
2021/5/27, 9, 5, 5
2021/5/28, 16, 6, 4
2021/5/29, 24, 8, 7
2021/5/30, 25, 10, 10
2021/5/31, 36, 41, 5
2021/6/1, 10, 29, 8
2021/6/2, 26, 31, 4
2021/6/3, 22, 24, 5
2021/6/4, 25, 34, 11
2021/6/5, 38, 27, 8
2021/6/6, 38, 19, 4
2021/6/7, 29, 21, 4
2021/6/8, 18, 21, 4
2021/6/9, 19, 20, 16
2021/6/10, 21, 18, 15
2021/6/11, 23, 24, 3
2021/6/12, 15, 16, 2
2021/6/13, 16, 16, 3
2021/6/14, 18, 25, 5
2021/6/15, 16, 17, 2
2021/6/16, 16, 27, 3
2021/6/17, 27, 34, 6
2021/6/18, 44, 29, 4
2021/6/19, 40, 18, 3
2021/6/20, 22, 15, 3
2021/6/21, 15, 21, 4
2021/6/22, 27, 11, 4
2021/6/23, 10, 23, 5
2021/6/24, 28, 10, 2
2021/6/25, 17, 15, 3
2021/6/26, 29, 12, 1
2021/6/27, 19, 24, 3
2021/6/28, 36, 29, 3
2021/6/29, 36, 30, 5
2021/6/30, 39, 20, 4
2021/1/4, 6, 3, 7
2021/1/5, 10, 2, 3
2021/1/6, 5, 3, 8
2021/1/7, 13, 3, 9
2021/1/8, 13, 3, 5
2021/1/9, 14, 6, 7
2021/1/10, 14, 5, 3
2021/1/11, 4, 5, 14
2021/1/12, 11, 6, 16
2021/1/13, 19, 5, 9
2021/1/14, 21, 6, 13
2021/1/15, 25, 6, 13
2021/1/16, 30, 3, 4
2021/1/17, 17, 4, 8
2021/1/18, 20, 1, 7
2021/1/19, 5, 3, 5
2021/1/20, 11, 7, 4
2021/1/21, 15, 6, 5
2021/1/22, 10, , 
2021/1/24, 26, 8, 16
2021/1/25, 21, 9, 12
2021/1/26, 15, 10, 19
2021/1/27, 24, 8, 11
2021/1/28, 14, 8, 18
2021/1/29, 19, , 
2021/2/1, 19, 7, 15
2021/2/2, 18, 6, 9
2021/2/3, 21, 6, 7
2021/2/4, 23, 7, 14
2021/2/5, 23, 7, 10
2021/2/6, 25, 4, 7
2021/2/7, 14, 3, 9
2021/2/8, 6, 4, 8
2021/2/9, 7, 18, 20
2021/2/10, 20, 11, 17
2021/2/11, 17, 33, 28
2021/2/12, 36, 33, 25
2021/2/13, 38, 11, 24
2021/2/14, 32, 11, 8
2021/2/15, 12, 6, 6
2021/2/16, 25, 13, 6
2021/2/17, 55, 9, 4
2021/2/18, 39, 13, 8
2021/2/19, 43, 10, 6
2021/2/20, 26, 18, 8
2021/2/21, 45, 21, 15
2021/2/22, 57, 12, 10
2021/2/23, 34, 19, 7
2021/2/24, 41, 17, 6
2021/2/25, 35, 26, 8
2021/2/26, 31, 24, 18
2021/2/27, 34, 17, 11
2021/2/28, 24, 11, 11
2021/3/1, 24, 12, 11
2021/3/2, 24, 6, 6
2021/3/3, 18, 18, 7
2021/3/4, 11, 35, 17
2021/3/5, 19, 18, 6
2021/3/6, 15, 21, 3
2021/3/7, 19, 35, 17
2021/3/8, 18, 26, 16
2021/3/9, 20, 22, 9
2021/3/10, 13, 7, 4
2021/3/11, 12, 30, 6
2021/3/12, 32, 11, 3
2021/3/13, 17, 12, 3
2021/3/14, 17, 8, 10
2021/3/15, 13, 30, 19
2021/3/16, 23, 25, 17
2021/3/17, 19, 39, 18
2021/3/18, 18, 20, 8
2021/3/19, 13, 15, 5
2021/3/20, 12, 20, 2
2021/3/21, 10, 27, 10
2021/3/22, 19, 16, 8
2021/3/23, 22, 19, 5
2021/3/24, 33, 17, 6
2021/3/25, 27, 12, 7
2021/3/26, 28, 8, 6
2021/3/27, 27, 11, 4
2021/3/28, 19, 7, 4
2021/3/29, 19, 22, 4
2021/3/30, 27, 28, 6
2021/3/31, 29, 11, 7
2020/10/1, 22, 62, 3
2020/10/2, 78, 45, 2
2020/10/3, 84, 8, 3
2020/10/4, 36, 4, 4
2020/10/5, 13, 7, 4
2020/10/6, 16, 5, 4
2020/10/7, 20, 7, 3
2020/10/8, 14, 6, 4
2020/10/9, 14, , 
2020/10/15, 14, 8, 10
2020/10/16, 15, 8, 7
2020/10/17, 11, 6, 8
2020/10/18, 11, 17, 17
2020/10/19, 23, 7, 5
2020/10/20, 21, 12, 6
2020/10/21, 34, 4, 4
2020/10/22, 18, 12, 5
2020/10/23, 22, 7, 3
2020/10/24, 16, 7, 2
2020/10/25, 17, 7, 4
2020/10/26, 17, 9, 3
2020/10/27, 19, 13, 3
2020/10/28, 23, 11, 9
2020/10/29, 25, 10, 7
2020/10/30, 20, 10, 2
2020/10/31, 18, 8, 1
2020/11/1, 15, 6, 2
2020/11/2, 16, 12, 2
2020/11/3, 22, 11, 6
2020/11/4, 20, 19, 5
2020/11/5, 28, 21, 5
2020/11/6, 33, 11, 2
2020/11/7, 20, 19, 7
2020/11/8, 32, 10, 5
2020/11/9, 18, 7, 5
2020/11/10, 18, 14, 4
2020/11/11, 41, 6, 4
2020/11/12, 19, 7, 4
2020/11/13, 25, 10, 5
2020/11/14, 20, 10, 3
2020/11/15, 31, 9, 4
2020/11/16, 22, 10, 4
2020/11/17, 18, 9, 2
2020/11/18, 18, 12, 5
2020/11/19, 18, 27, 14
2020/11/20, 21, 6, 2
2020/11/21, 11, 17, 2
2020/11/22, 25, 15, 7
2020/11/23, 19, 9, 2
2020/11/24, 20, 15, 5
2020/11/25, 31, 12, 13
2020/11/26, 23, 18, 21
2020/11/27, 40, 4, 6
2020/11/28, 20, 1, 4
2020/11/29, 8, 3, 5
2020/11/30, 8, 5, 8
2020/12/1, 24, 8, 6
2020/12/2, 35, 20, 5
2020/12/3, 68, 13, 9
2020/12/4, 54, 15, 6
2020/12/5, 59, 14, 5
2020/12/6, 53, 12, 5
2020/12/7, 47, 8, 6
2020/12/8, 35, 10, 7
2020/12/9, 43, 9, 5
2020/12/10, 35, 7, 6
2020/12/11, 16, 7, 5
2020/12/12, 31, 2, 4
2020/12/13, 11, 4, 4
2020/12/14, 12, 5, 6
2020/12/15, 18, 10, 9
2020/12/16, 22, 5, 5
2020/12/17, 14, 10, 5
2020/12/18, 20, 7, 4
2020/12/19, 21, 10, 5
2020/12/20, 31, 11, 6
2020/12/21, 24, 5, 5
2020/12/22, 9, 20, 9
2020/12/23, 19, 4, 4
2020/12/24, 9, 4, 6
2020/12/25, 11, 6, 6
2020/12/26, 13, 3, 1
2020/12/27, 3, 5, 3
2020/12/28, 23, 7, 5
2020/12/29, 31, 4, 5
2020/12/30, 19, 2, 3
2020/12/31, 8, 5, 3
2021/1/1, 24, 5, 7
2021/1/2, 23, 2, 3
2021/1/3, 9, 4, 5
2020/7/1, 30, 13, 3
2020/7/2, 9, 10, 3
2020/7/3, 8, 6, 2
2020/7/4, 10, 8, 1
2020/7/5, 15, 14, 2
2020/7/6, 22, 14, 3
2020/7/7, 14, 10, 7
2020/7/8, 11, 14, 4
2020/7/9, 18, 11, 5
2020/7/10, 16, 14, 3
2020/7/11, 21, 14, 2
2020/7/12, 18, 13, 3
2020/7/13, 18, 7, 4
2020/7/14, 21, 7, 7
2020/7/15, 19, 12, 10
2020/7/16, 19, 10, 6
2020/7/17, 20, 7, 3
2020/7/18, 17, 13, 4
2020/7/19, 31, 10, 4
2020/7/20, 17, 11, 3
2020/7/21, 13, 11, 6
2020/7/22, 13, 12, 5
2020/7/23, 14, 4, 6
2020/7/24, 12, 9, 4
2020/7/25, 16, 7, 2
2020/7/26, 19, 9, 2
2020/7/27, 17, 7, 2
2020/7/28, 15, 11, 1
2020/7/29, 19, 14, 3
2020/7/30, 21, 11, 7
2020/7/31, 20, 8, 6
2020/8/1, 20, 8, 3
2020/8/2, 16, 12, 3
2020/8/3, 18, 12, 3
2020/8/4, 17, 9, 4
2020/8/5, 23, 14, 6
2020/8/6, 31, 18, 7
2020/8/7, 39, 17, 11
2020/8/8, 31, 19, 16
2020/8/9, 38, 16, 12
2020/8/10, 31, 12, 7
2020/8/11, 22, 11, 8
2020/8/12, 14, 17, 11
2020/8/13, 24, 16, 12
2020/8/14, 26, 22, 16
2020/8/15, 40, 21, 16
2020/8/16, 41, 26, 16
2020/8/17, 44, 24, 13
2020/8/18, 44, 15, 11
2020/8/19, 32, 8, 4
2020/8/20, 32, 7, 3
2020/8/21, 21, 13, 2
2020/8/22, 30, 10, 1
2020/8/23, 24, 6, 3
2020/8/24, 11, 6, 4
2020/8/25, 10, 4, 5
2020/8/26, 13, 10, 10
2020/8/27, 19, 8, 8
2020/8/28, 16, 3, 3
2020/8/29, 11, 6, 6
2020/8/30, 16, 6, 7
2020/8/31, 10, 12, 10
2020/9/1, 19, 10, 8
2020/9/2, 19, 13, 8
2020/9/3, 19, 11, 3
2020/9/4, 19, 11, 1
2020/9/5, 16, 10, 2
2020/9/6, 13, 10, 7
2020/9/7, 13, 15, 3
2020/9/8, 21, 12, 3
2020/9/9, 18, 10, 5
2020/9/10, 13, 13, 3
2020/9/11, 20, 13, 2
2020/9/12, 28, 13, 2
2020/9/13, 26, 18, 5
2020/9/14, 34, 14, 12
2020/9/15, 36, 10, 9
2020/9/16, 19, 8, 12
2020/9/17, 12, 18, 9
2020/9/18, 24, 10, 7
2020/9/19, 23, 4, 4
2020/9/20, 16, 6, 4
2020/9/21, 14, 9, 5
2020/9/22, 22, 19, 8
2020/9/23, 53, 15, 6
2020/9/24, 37, 9, 7
2020/9/25, 23, 4, 4
2020/9/26, 16, 14, 2
2020/9/27, 50, 31, 5
2020/9/28, 57, 7, 7
2020/9/29, 17, 6, 4
2020/9/30, 24, 11, 4
2020/4/1, 22, 34, 5
2020/4/2, 29, 25, 7
2020/4/3, 25, 14, 5
2020/4/4, 23, 17, 5
2020/4/5, 29, 22, 5
2020/4/6, 42, 31, 9
2020/4/7, 44, 36, 11
2020/4/8, 26, 21, 9
2020/4/9, 21, 19, 11
2020/4/10, 21, 15, 9
2020/4/11, 18, 16, 4
2020/4/12, 25, 8, 2
2020/4/13, 9, 14, 7
2020/4/14, 15, 35, 6
2020/4/15, 30, 22, 8
2020/4/16, 28, 15, 13
2020/4/17, 17, 10, 8
2020/4/18, 15, 13, 12
2020/4/19, 21, 25, 16
2020/4/20, 23, 20, 10
2020/4/21, 30, 29, 18
2020/4/22, 35, 21, 14
2020/4/23, 25, 18, 10
2020/4/24, 16, 9, 6
2020/4/25, 8, 13, 6
2020/4/26, 22, 9, 7
2020/4/27, 19, , 
2020/5/28, 33, 11, 12
2020/5/29, 16, , 
2020/6/2, 42, 12, 9
2020/6/3, 33, 12, 2
2020/6/4, 13, 7, 4
2020/6/5, 18, 9, 3
2020/6/6, 21, 12, 1
2020/6/7, 26, 12, 5
2020/6/8, 24, 16, 6
2020/6/9, 23, 18, 10
2020/6/10, 27, 19, 6
2020/6/11, 18, 14, 3
2020/6/12, 17, 11, 2
2020/6/13, 24, 10, 2
2020/6/14, 21, 14, 7
2020/6/15, 24, 22, 11
2020/6/16, 31, 12, 8
2020/6/17, 25, 11, 7
2020/6/18, 21, 12, 5
2020/6/19, 22, 10, 5
2020/6/20, 34, 6, 6
2020/6/21, 73, 12, 7
2020/6/22, 24, 20, 7
2020/6/23, 27, 21, 9
2020/6/24, 40, 19, 14
2020/6/25, 31, 19, 10
2020/6/26, 38, 18, 8
2020/6/27, 36, 10, 3
2020/6/28, 37, 12, 4
2020/6/29, 18, 9, 2
2020/6/30, 14, 15, 2
2020/1/1, 27, 27, 6
2020/1/2, 61, 15, 7
2020/1/3, 16, 22, 5
2020/1/4, 20, 19, 14
2020/1/5, 19, 9, 6
2020/1/6, 15, 13, 8
2020/1/7, 23, 26, 8
2020/1/8, 33, 19, 8
2020/1/9, 23, 4, 8
2020/1/10, 12, 12, 6
2020/1/11, 17, 14, 6
2020/1/12, 22, 12, 9
2020/1/13, 18, 12, 6
2020/1/14, 19, 11, 8
2020/1/15, 20, 29, 7
2020/1/16, 40, 14, 7
2020/1/17, 27, 11, 7
2020/1/18, 23, 14, 18
2020/1/19, 23, 20, 12
2020/1/20, 31, 20, 7
2020/1/21, 29, 35, 17
2020/1/22, 26, 15, 14
2020/1/23, 18, 12, 7
2020/1/24, 22, 15, 8
2020/1/25, 20, 10, 4
2020/1/26, 20, 12, 8
2020/1/27, 28, 4, 8
2020/1/28, 9, 7, 10
2020/1/29, 12, 6, 12
2020/1/30, 9, 9, 13
2020/1/31, 19, 11, 6
2020/2/1, 20, 14, 7
2020/2/2, 13, 14, 21
2020/2/3, 17, 7, 10
2020/2/4, 19, 14, 16
2020/2/5, 21, 20, 20
2020/2/6, 30, 9, 17
2020/2/7, 18, 6, 4
2020/2/8, 14, 8, 4
2020/2/9, 15, 23, 4
2020/2/10, 28, 13, 6
2020/2/11, 21, 21, 6
2020/2/12, 26, 21, 14
2020/2/13, 23, 19, 19
2020/2/14, 30, 7, 5
2020/2/15, 16, 8, 3
2020/2/16, 17, 19, 5
2020/2/17, 36, 21, 5
2020/2/18, 30, 20, 13
2020/2/19, 16, 9, 8
2020/2/20, 12, 24, 6
2020/2/21, 27, 13, 3
2020/2/22, 14, 33, 4
2020/2/23, 35, 17, 15
2020/2/24, 15, 3, 8
2020/2/25, 3, 9, 8
2020/2/26, 8, 15, 17
2020/2/27, 12, 14, 14
2020/2/28, 14, 6, 5
2020/2/29, 10, 11, 3
2020/3/1, 16, 22, 7
2020/3/2, 26, 10, 10
2020/3/3, 10, 5, 16
2020/3/4, 9, 14, 13
2020/3/5, 10, 12, 13
2020/3/6, 12, 20, 10
2020/3/7, 26, 13, 4
